seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.03    	-16.55  	5.32    	49.59   	-3.56   	2.10    	1.79    	3.25    	gaze started: billboard_image_1	
0.17    	-14.27  	4.87    	50.20   	-3.56   	2.10    	1.86    	3.38    	-       	
0.19    	-14.58  	6.33    	50.11   	-3.55   	2.10    	2.26    	3.40    	-       	
0.22    	-14.48  	6.74    	50.14   	-3.56   	2.10    	2.33    	3.41    	-       	
0.24    	-14.15  	6.69    	50.23   	-3.56   	2.10    	2.41    	3.39    	-       	
0.27    	-14.51  	6.00    	50.13   	-3.56   	2.10    	2.50    	3.40    	-       	
0.30    	-14.42  	5.75    	50.15   	-3.56   	2.10    	2.58    	3.48    	gaze fixated: billboard_image_1	
0.32    	-14.91  	5.44    	50.02   	-3.56   	2.10    	2.66    	3.51    	-       	
0.35    	-14.62  	5.27    	50.10   	-3.56   	2.10    	2.74    	3.55    	-       	
0.37    	-14.26  	5.36    	50.20   	-3.56   	2.10    	2.81    	3.54    	-       	
0.40    	-13.99  	6.05    	50.27   	-3.56   	2.10    	2.89    	3.56    	-       	
0.43    	-13.64  	6.56    	50.37   	-3.56   	2.10    	2.98    	3.54    	-       	
0.45    	-13.49  	7.15    	50.41   	-3.56   	2.10    	3.05    	3.56    	-       	
0.48    	-16.56  	6.10    	49.58   	-3.56   	2.10    	3.12    	3.60    	-       	
0.50    	-15.99  	6.76    	49.73   	-3.56   	2.11    	3.21    	3.50    	-       	
0.53    	-16.65  	7.13    	49.56   	-3.57   	2.11    	3.28    	3.56    	-       	
0.56    	-16.08  	7.07    	49.71   	-3.57   	2.11    	3.36    	3.50    	-       	
0.58    	-15.98  	6.98    	49.74   	-3.57   	2.11    	3.44    	3.56    	-       	
0.61    	-16.14  	6.57    	49.69   	-3.57   	2.11    	3.52    	3.49    	-       	
0.63    	-15.66  	5.19    	49.82   	-3.57   	2.11    	3.60    	3.54    	-       	
0.66    	-15.83  	5.06    	49.78   	-3.57   	2.11    	3.69    	3.44    	-       	
0.69    	-15.84  	5.64    	49.77   	-3.57   	2.11    	3.77    	3.51    	-       	
0.71    	-15.81  	5.56    	49.78   	-3.57   	2.11    	3.89    	3.48    	-       	
0.74    	-15.81  	5.35    	49.78   	-3.57   	2.11    	3.97    	3.46    	-       	
0.77    	-16.16  	5.47    	49.69   	-3.57   	2.11    	4.06    	3.39    	-       	
0.79    	-15.68  	6.01    	49.82   	-3.57   	2.11    	4.17    	3.35    	-       	
0.82    	-15.91  	6.04    	49.76   	-3.57   	2.11    	4.28    	3.37    	-       	
0.84    	-16.10  	5.79    	49.71   	-3.57   	2.11    	4.37    	3.40    	-       	
0.87    	-16.27  	5.35    	49.66   	-3.57   	2.11    	4.49    	3.37    	-       	
0.89    	-15.95  	5.73    	49.75   	-3.57   	2.11    	4.59    	3.36    	-       	
0.92    	-16.06  	6.26    	49.72   	-3.57   	2.11    	4.70    	3.39    	-       	
0.95    	-15.85  	6.27    	49.77   	-3.57   	2.11    	4.83    	3.38    	-       	
0.97    	-15.91  	5.99    	49.76   	-3.57   	2.11    	4.93    	3.37    	-       	
1.00    	-16.05  	5.59    	49.72   	-3.57   	2.11    	5.05    	3.36    	-       	
1.02    	-15.85  	5.41    	49.77   	-3.57   	2.11    	5.19    	3.38    	-       	
1.05    	-14.89  	5.12    	50.03   	-3.57   	2.11    	5.30    	3.36    	-       	
1.08    	-15.25  	5.25    	49.93   	-3.57   	2.11    	5.43    	3.33    	-       	
1.10    	-14.93  	5.24    	50.02   	-3.57   	2.11    	5.57    	3.32    	-       	
